time,btcdom_open,btcdom_high,btcdom_low,btcdom_close,btcdom_volume
2025-09-25 07:00:00,4043.9,4099.0,4039.0,4069.3,1141.217
2025-09-25 11:00:00,4070.0,4094.5,4050.0,4082.2,523.475
2025-09-25 15:00:00,4082.9,4250.0,4048.0,4074.0,1278.18
2025-09-25 19:00:00,4073.1,4140.4,4058.7,4085.3,1101.925
2025-09-25 23:00:00,4085.8,4139.9,4079.6,4124.6,539.325
2025-09-26 03:00:00,4124.3,4125.0,4076.4,4085.6,405.227
2025-09-26 07:00:00,4084.9,4112.1,4076.1,4086.5,310.724
2025-09-26 11:00:00,4086.1,4153.0,4083.5,4124.1,506.278
2025-09-26 15:00:00,4124.2,4251.0,4034.5,4075.7,1086.57
2025-09-26 19:00:00,4076.6,4081.3,4007.0,4009.9,601.81
2025-09-26 23:00:00,4011.1,4028.1,4005.1,4009.0,187.351
2025-09-27 03:00:00,4007.9,4026.7,4001.4,4011.4,555.627
2025-09-27 07:00:00,4011.5,4024.1,4007.0,4018.0,111.187
2025-09-27 11:00:00,4018.1,4043.9,4011.1,4021.9,155.487
2025-09-27 15:00:00,4022.0,4029.0,3997.5,4006.9,207.162
2025-09-27 19:00:00,4006.9,4042.5,4005.5,4023.8,224.483
2025-09-27 23:00:00,4024.4,4024.4,3997.6,4016.5,124.806
2025-09-28 03:00:00,4015.6,4061.7,4012.5,4032.5,312.639
2025-09-28 07:00:00,4032.6,4040.8,4017.7,4027.1,265.101
2025-09-28 11:00:00,4027.1,4055.0,4027.0,4044.9,172.338
2025-09-28 15:00:00,4044.9,4061.8,4021.2,4025.9,354.149
2025-09-28 19:00:00,4027.1,4029.5,4009.3,4014.8,250.231
2025-09-28 23:00:00,4014.3,4021.3,3997.3,3998.4,377.512
2025-09-29 03:00:00,3999.5,4016.0,3991.8,3992.5,248.641
2025-09-29 07:00:00,3992.0,4014.7,3990.9,4001.2,150.866
2025-09-29 11:00:00,4001.8,4032.7,3998.5,4028.0,176.519
2025-09-29 15:00:00,4028.7,4050.4,4005.9,4036.9,745.12
2025-09-29 19:00:00,4036.6,4067.1,4027.8,4031.3,417.342
2025-09-29 23:00:00,4031.1,4032.2,3995.3,4017.8,467.913
2025-09-30 03:00:00,4016.8,4050.7,4012.1,4044.5,383.883
2025-09-30 07:00:00,4044.4,4045.9,4015.2,4036.0,270.847
