,Feature,rank
616,close_smooth_prev_24,1729.0
617,volume_prev_180,1729.5
618,low_prev_144,1730.0
619,rsi_prev_176,1730.5
620,open_prev_84,1732.0
621,open_prev_20,1733.0
622,close_smooth_prev_116,1734.0
623,stoch_slowd_dir_prev_48,1735.0
624,high_prev_76,1735.0
625,open_prev_100,1736.0
626,stoch_slowd_dir_prev_8,1736.0
627,macdsignal_prev_156,1736.5
628,macd_dir_prev_4,1736.5
629,macdhist_prev_52,1736.5
630,low_prev_8,1737.0
631,close_smooth_prev_4,1738.0
632,stoch_slowd_prev_136,1738.0
633,high_prev_80,1739.0
634,open_prev_184,1740.0
635,close_smooth_prev_180,1741.0
636,macd_dir_prev_68,1741.5
637,high_prev_84,1742.0
638,high_prev_160,1744.0
639,open_prev_136,1745.0
640,close_prev_28,1746.0
641,stoch_slowk_prev_116,1746.0
642,stoch_slowd_dir_prev_36,1746.5
643,macdsignal_dir_prev_96,1747.0
644,high,1747.0
645,macdhist_prev_108,1747.5
646,low_prev_28,1748.0
647,close_smooth_prev_68,1749.0
648,close_smooth_prev_184,1750.0
649,high_prev_108,1751.0
650,stoch_slowd_dir_prev_24,1752.0
651,low_prev_80,1752.0
652,stoch_slowk_dir_prev_76,1753.0
653,low_prev_192,1753.0
654,macd_dir_prev_48,1753.0
655,stoch_slowd_prev_156,1753.0
656,close_smooth_prev_12,1755.0
657,low_prev_124,1756.0
658,macd_prev_88,1757.0
659,macd_dir_prev_184,1757.5
660,stoch_slowd_dir_prev_180,1760.0
661,stoch_slowd_dir_prev_152,1762.0
662,macd_prev_164,1765.0
663,linear_reg_prev_168,1767.0
664,linear_reg_prev_48,1767.5
665,stoch_slowk_dir_prev_44,1769.0
666,macdsignal_prev_160,1769.5
667,stoch_slowd_prev_92,1771.0
668,stoch_diff_prev_172,1773.0
669,macd_dir_prev_188,1774.0
670,volume_prev_16,1776.0
671,macdhist_prev_180,1778.0
672,macdsignal_prev_124,1779.5
673,macdhist_prev_24,1780.0
674,macdhist_prev_72,1780.0
675,macd_dir_prev_160,1781.5
676,stoch_slowk_dir_prev_88,1781.5
677,stoch_slowd_dir_prev_188,1782.0
678,macdsignal_prev_112,1782.5
679,stoch_slowd_prev_48,1783.0
680,rsi_prev_60,1785.0
681,macd_dir_prev_36,1785.5
682,macd_dir_prev_8,1790.0
683,macd_prev_148,1791.5
684,linear_reg_prev_76,1793.0
685,macd_prev_140,1794.5
686,volume_prev_68,1794.5
687,stoch_slowd_prev_52,1794.5
688,macd_dir_prev_100,1795.0
689,macdsignal_prev_108,1795.5
690,macd_dir_prev_28,1796.0
691,stoch_slowd_prev_8,1797.0
692,stoch_slowd_prev_164,1798.0
693,macdsignal_prev_44,1799.0
694,stoch_diff_prev_192,1799.0
695,stoch_slowk_prev_128,1800.0
696,stoch_slowk_prev_164,1800.5
697,volume_prev_88,1801.5
698,macd_prev_124,1801.5
699,macd_dir_prev_44,1803.0
700,macdsignal_prev_172,1804.0
701,macd_prev_56,1805.0
702,macdsignal_prev_180,1809.0
703,linear_reg_prev_100,1811.0
704,macd_prev_156,1811.0
705,macdhist_prev_176,1812.0
706,atr_prev_52,1815.0
707,macdsignal_prev_164,1817.0
708,macd_prev_64,1817.5
709,volume_prev_52,1819.0
710,stoch_slowd_dir_prev_40,1822.5
711,macdsignal_dir_prev_20,1824.0
712,macdsignal_dir_prev_128,1828.0
713,volume_prev_48,1830.0
714,stoch_slowk_prev_52,1830.5
715,macd_dir_prev_40,1831.0
716,macd_dir_prev_84,1838.5
717,linear_reg_angle_prev_80,1839.0
718,macd_prev_52,1839.0
719,linear_reg_prev_32,1839.5
720,linear_reg_angle_prev_156,1840.0
721,linear_reg_prev_172,1840.5
722,macd_dir_prev_80,1842.0
723,linear_reg_prev_24,1846.0
724,linear_reg_prev_72,1849.0
725,close_prev_108,1852.5
726,atr_prev_140,1852.5
727,close_prev_116,1852.5
728,close_prev_16,1852.5
729,close_prev_12,1852.5
730,close_prev_120,1852.5
731,close_prev_24,1852.5
732,close_prev_160,1852.5
733,close_prev_132,1852.5
734,close_prev_136,1852.5
735,close_prev_140,1852.5
736,close_prev_144,1852.5
737,close_prev_148,1852.5
738,close_prev_124,1852.5
739,close_prev_104,1852.5
740,close_prev_100,1852.5
741,close,1852.5
742,close_prev_20,1852.5
743,close_prev_152,1852.5
744,close_prev_192,1852.5
745,close_prev_188,1852.5
746,close_prev_184,1852.5
747,close_prev_180,1852.5
748,close_prev_36,1852.5
