,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_max_bin,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,n_estimators
213,213,449.0,2024-01-26 00:06:14.166913,2024-01-26 00:06:48.420160,0 days 00:00:34.253247,dart,0.7675401892148318,68,0.5079779511054732,False,0.0018460044803938862,131,5,2632,127,3.763692076908945e-08,3.517910587639781e-05,0.31154012953024235,COMPLETE,0.0
165,165,448.0,2024-01-25 23:35:53.244276,2024-01-25 23:36:29.438537,0 days 00:00:36.194261,dart,0.7988914244613604,51,0.5060832699402625,False,0.0009530171338615548,105,5,2761,112,1.2008373562384484e-07,0.0011702645853163337,0.3185877428839711,COMPLETE,0.0
86,86,448.0,2024-01-25 22:52:08.103620,2024-01-25 22:52:38.599056,0 days 00:00:30.495436,dart,0.6903473151562959,92,0.500370804254975,False,0.0011486360278180462,129,4,2742,85,3.0547926186825983e-07,0.0011131605278251828,0.35197074572474585,COMPLETE,0.0
257,257,448.0,2024-01-26 00:32:13.250892,2024-01-26 00:32:45.919882,0 days 00:00:32.668990,dart,0.7594554759767946,64,0.5000986442583387,False,0.0011095233504713974,129,5,2520,112,1.7843103074306648e-07,4.6057095733435444e-05,0.32317145918878815,COMPLETE,0.0
251,251,448.0,2024-01-26 00:27:37.946100,2024-01-26 00:28:12.600353,0 days 00:00:34.654253,dart,0.7845969710492617,50,0.5076144352799292,False,0.002934684533802184,140,5,2692,110,0.0013635774919694272,8.291054970610477e-06,0.36847673951719534,COMPLETE,0.0
449,449,448.0,2024-01-26 02:13:14.350230,2024-01-26 02:13:51.020139,0 days 00:00:36.669909,dart,0.8040818615219829,86,0.5000965164235117,False,0.0021988125865864843,106,5,2747,122,4.662082094666938e-08,0.0001173432038114697,0.32483229738971847,COMPLETE,0.0
306,306,448.0,2024-01-26 01:01:54.184321,2024-01-26 01:02:35.433560,0 days 00:00:41.249239,dart,0.7553129142937739,68,0.5001425337290659,False,0.00014061706393326558,162,5,2998,124,4.45693515537081e-08,0.0019892323128524814,0.36352525237267724,COMPLETE,0.0
91,91,447.0,2024-01-25 22:54:39.697243,2024-01-25 22:55:16.372850,0 days 00:00:36.675607,dart,0.6760611957440267,89,0.5021670444901166,False,0.0008693496611845734,129,5,2637,86,6.532053400507485e-06,9.50564985194541e-05,0.36018499043068897,COMPLETE,0.0
222,222,447.0,2024-01-26 00:11:23.541588,2024-01-26 00:12:00.464670,0 days 00:00:36.923082,dart,0.7990759884186035,50,0.5001421676194934,False,0.0015959497318494566,130,5,2752,119,2.1123142826102464e-08,2.8314249904476765e-05,0.33616162322727794,COMPLETE,0.0
430,430,447.0,2024-01-26 02:04:42.867937,2024-01-26 02:04:57.531280,0 days 00:00:14.663343,dart,0.7324853186610605,74,0.5003798037008329,False,0.0019776955883108412,121,6,1067,105,2.726487852618903e-07,4.055066235960473e-06,0.3269785786208351,COMPLETE,0.0
221,221,447.0,2024-01-26 00:10:48.576542,2024-01-26 00:11:23.540832,0 days 00:00:34.964290,dart,0.7752237307534361,69,0.5002230427996109,False,0.0013403021068175813,139,5,2659,122,3.655077726739642e-08,1.7187142868359575e-05,0.31309738436598733,COMPLETE,0.0
310,310,447.0,2024-01-26 01:04:31.692805,2024-01-26 01:05:23.949254,0 days 00:00:52.256449,dart,0.4797716780278607,63,0.5094679534330131,False,0.005762322054330257,109,8,2378,114,8.291508729883857e-08,4.355260097274337e-05,0.7561214392661355,COMPLETE,0.0
92,92,447.0,2024-01-25 22:55:16.373545,2024-01-25 22:55:49.435521,0 days 00:00:33.061976,dart,0.674854917750127,88,0.5006930776542821,False,0.0008205425853272878,129,5,2439,86,7.938978193684823e-06,9.212746450027159e-05,0.3532873830503359,COMPLETE,0.0
174,174,447.0,2024-01-25 23:42:11.146330,2024-01-25 23:42:56.127412,0 days 00:00:44.981082,dart,0.7623072387132116,65,0.5006586666114833,False,0.002341440159906391,137,6,2842,107,4.521396305455419e-08,0.0017356823914516295,0.33004742378553587,COMPLETE,0.0
444,444,447.0,2024-01-26 02:10:27.778268,2024-01-26 02:11:01.772840,0 days 00:00:33.994572,dart,0.7693058423430572,50,0.5000972464529321,False,0.002258854746053523,99,4,2821,119,1.2101760521177544e-07,3.2854505127465683e-06,0.309896186074229,COMPLETE,0.0
416,416,447.0,2024-01-26 02:00:29.082217,2024-01-26 02:00:42.049503,0 days 00:00:12.967286,dart,0.7369717671190933,100,0.5005105068194161,False,0.0022735928054329847,241,5,1014,31,1.40951420479895e-07,0.00042014056372816837,0.33381850087736853,COMPLETE,0.0
188,188,446.0,2024-01-25 23:51:04.215075,2024-01-25 23:51:34.552314,0 days 00:00:30.337239,dart,0.8361464650698571,75,0.5000187659979032,False,0.0006665072890654196,122,5,2143,120,0.000979078599014389,0.0409588412507548,0.30074206439937223,COMPLETE,0.0
491,491,446.0,2024-01-26 02:37:09.787459,2024-01-26 02:37:42.768336,0 days 00:00:32.980877,dart,0.4702420648495169,68,0.5140499150444696,False,0.0011939534501532803,169,5,2586,128,1.1365078796729704e-07,1.7954041862050042e-05,0.3126289559109073,COMPLETE,0.0
335,335,446.0,2024-01-26 01:19:44.957250,2024-01-26 01:19:49.728153,0 days 00:00:04.770903,dart,0.46320902981870915,58,0.500017454539314,False,0.004554027446431619,115,4,629,113,7.450643068872075e-05,2.5916747279713334e-06,0.3133585919688798,COMPLETE,0.0
229,229,445.0,2024-01-26 00:15:27.796403,2024-01-26 00:16:02.846999,0 days 00:00:35.050596,dart,0.4517452118881338,65,0.5076315004291282,False,0.002002045842781569,121,5,2642,120,1.2944549848171384e-07,0.00041631709617510215,0.7854010169374839,COMPLETE,0.0
