number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_corr_thresh,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_low_bound,params_max_bin,params_max_depth,params_max_train_size,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sample_weight,params_subsample,state
672,586.5274747952114,2024-10-01 00:30:14.127693,2024-10-01 00:30:42.257033,0 days 00:00:28.129340,gbdt,0.8871434173245761,0.5794543541940823,112,0.5136808645826546,True,0.0011072157434407553,0.034719607722263165,105,8,0.5336349022363193,744,346,4.521306189635602e-06,3.4040360608838944,,0.6578797233120918,COMPLETE
353,585.9989895746455,2024-09-30 20:48:00.819274,2024-09-30 20:48:39.449300,0 days 00:00:38.630026,gbdt,0.8877353216761747,0.6247210406559582,163,0.5124508281490849,True,0.001091891935939118,0.03617236204327788,109,8,0.5002945098823609,846,300,1.4008472755101612e-05,0.5022902301847518,,0.5996485218287338,COMPLETE
615,584.2268694968564,2024-09-30 23:55:39.750767,2024-09-30 23:56:15.033197,0 days 00:00:35.282430,gbdt,0.88856839897672,0.6311172133712449,156,0.5104724443596487,True,0.0016377292791988239,0.03000579665537135,107,8,0.5169027164841332,731,330,2.5591909003658924e-05,0.35190114178645066,,0.6557195887932362,COMPLETE
286,583.8294234483991,2024-09-30 20:05:44.043896,2024-09-30 20:06:25.860710,0 days 00:00:41.816814,gbdt,0.8644288149914258,0.5900631740772762,195,0.5226730241441924,True,0.0009404761851451314,0.04574841397432652,109,8,0.5001069568169895,876,319,1.6515166735450824e-06,0.29351434741934146,,0.5928992525923135,COMPLETE
304,580.7649009433972,2024-09-30 20:15:48.147244,2024-09-30 20:16:19.600888,0 days 00:00:31.453644,gbdt,0.8987832101599557,0.6165804741523262,151,0.5212389156227716,True,0.0012904366222257213,0.03979620997969029,106,8,0.5225513238500127,637,300,5.203091717335989e-06,0.2530642339938467,,0.6289752916790083,COMPLETE
247,578.832973478995,2024-09-30 19:40:20.388629,2024-09-30 19:40:57.562180,0 days 00:00:37.173551,gbdt,0.8563391536961481,0.5968064626695608,160,0.5166782494007821,True,0.0009374759600877772,0.03442592142593171,111,8,0.5120536198078731,828,304,0.00016767230361156482,0.2199542957259079,,0.6326727768725438,COMPLETE
531,576.9610998375484,2024-09-30 22:47:55.646422,2024-09-30 22:48:24.744861,0 days 00:00:29.098439,gbdt,0.8881501781565245,0.6084455748388332,191,0.508927234349025,True,0.0009701190925246338,0.032744431627155915,63,8,0.52403727171554,753,293,4.7625161840739485e-06,0.3637277564897024,,0.3365064499595963,COMPLETE
719,576.7949864376137,2024-10-01 00:58:35.582574,2024-10-01 00:59:09.115097,0 days 00:00:33.532523,gbdt,0.8783156970356578,0.6280919698682635,116,0.5084466825666344,True,0.0010011263105194372,0.032104025467461654,118,8,0.5402951365123658,857,303,5.350489084778586e-07,3.83406299207147,,0.600899275596759,COMPLETE
582,576.2204354958988,2024-09-30 23:32:39.451745,2024-09-30 23:33:21.972399,0 days 00:00:42.520654,gbdt,0.8646463995564759,0.5932306624509217,176,0.5178205039969386,True,0.0014662467806697283,0.051552534516705495,119,8,0.5086858187250071,907,239,6.1445643354951275e-06,0.5709910493508852,,0.6388308732075932,COMPLETE
629,570.2611403508776,2024-10-01 00:06:05.747533,2024-10-01 00:06:36.518713,0 days 00:00:30.771180,gbdt,0.595288557101865,0.615982749897591,136,0.510460158703928,True,0.0010019643829751752,0.0254227851437836,113,8,0.5092521942743288,875,321,3.79313448882184e-06,0.3805356183066595,,0.6113520828742042,COMPLETE
